case,hour_of_year,zone_idx,exterior_temp_c,expected_load_w,rel_err
Case600FF,0,0,18.0,6.123233995736766e-15,2.0926695964348464e-13
Case600FF,0,1,18.0,6.123233995736766e-15,2.0926695964348464e-13
Case600FF,0,2,18.0,6.123233995736766e-15,2.0926695964348464e-13
Case600FF,0,3,18.0,6.123233995736766e-15,2.0926695964348464e-13
Case600FF,0,4,18.0,6.123233995736766e-15,2.0926695964348464e-13
Case600FF,87,0,13.091477843838435,47.97255066173493,2.5499131249822833e-08
Case600FF,87,1,13.091477843838435,47.97255066173493,2.5499131249822833e-08
Case600FF,87,2,13.091477843838435,47.97255066173493,2.5499131249822833e-08
Case600FF,87,3,13.091477843838435,47.97255066173493,2.5499131249822833e-08
Case600FF,87,4,13.091477843838435,47.97255066173493,2.5499131249822833e-08
Case600FF,175,0,27.229697550898855,0.0,0.0
Case600FF,175,1,27.229697550898855,0.0,0.0
Case600FF,175,2,27.229697550898855,0.0,0.0
Case600FF,175,3,27.229697550898855,0.0,0.0
Case600FF,175,4,27.229697550898855,0.0,0.0
Case600FF,262,0,16.24181168706298,22.21051471934357,2.9298738180618734e-08
Case600FF,262,1,16.24181168706298,22.21051471934357,2.9298738180618734e-08
Case600FF,262,2,16.24181168706298,22.21051471934357,2.9298738180618734e-08
Case600FF,262,3,16.24181168706298,22.21051471934357,2.9298738180618734e-08
Case600FF,262,4,16.24181168706298,22.21051471934357,2.9298738180618734e-08
Case600FF,350,0,16.980943845125722,13.181735081485446,3.2414641336131064e-09
Case600FF,350,1,16.980943845125722,13.181735081485446,3.2414641336131064e-09
Case600FF,350,2,16.980943845125722,13.181735081485446,3.2414641336131064e-09
Case600FF,350,3,16.980943845125722,13.181735081485446,3.2414641336131064e-09
Case600FF,350,4,16.980943845125722,13.181735081485446,3.2414641336131064e-09
Case600FF,438,0,29.70820393249937,0.0,0.0
Case600FF,438,1,29.70820393249937,0.0,0.0
Case600FF,438,2,29.70820393249937,0.0,0.0
Case600FF,438,3,29.70820393249937,0.0,0.0
Case600FF,438,4,29.70820393249937,0.0,0.0
Case600FF,525,0,16.755838364521527,15.999586318843612,1.3343903265910809e-08
Case600FF,525,1,16.755838364521527,15.999586318843612,1.3343903265910809e-08
Case600FF,525,2,16.755838364521527,15.999586318843612,1.3343903265910809e-08
